Plot number,Year,Elev(dem),heatload
B042015,2015,2227,0.981465851
B052015,2015,2331,0.38290300000
B062015,2015,2340,0.54762900000
B072015,2015,2255,0.34962600000
B082015,2015,2205,0.54803500000
B092015,2015,2179,0.48787400000
B102015,2015,2230,0.57360000000
B112015,2015,2310,0.93325300000
B122015,2015,2415,0.94145100000
B142015,2015,2458,0.64943000000
B162015,2015,2341,0.85508500000
B172015,2015,2272,0.79912700000
B192015,2015,2174,0.81661400000
B202015,2015,2135,0.88810600000
B212015,2015,2070,0.50610400000
B222015,2015,2008,0.60583000000
B242015,2015,2010,0.66208200000
B252015,2015,1980,0.74690800000
B262015,2015,1824,0.62274400000
B272015,2015,1844,0.73774100000
B292015,2015,2233,0.72772100000
B302015,2015,2242,0.80725600000
B312015,2015,2248,0.96497700000
B322015,2015,2141,0.50860300000
B332015,2015,2149,0.50597200000
B342015,2015,2202,0.50014400000
B352015,2015,2160,0.81283100000
B362015,2015,2149,0.57853600000
B372015,2015,2105,0.96255400000
B392015,2015,2145,0.874641427
B402015,2015,2036,0.60060700000
B412015,2015,1956,0.42416500000
B422015,2015,1843,0.51054200000
B432015,2015,1867,0.91750000000
B482015,2015,2084,0.75929600000
B492015,2015,2034,0.58975700000
B502015,2015,1721,0.840087829
B522015,2015,1913,0.66469200000
B532015,2015,1948,0.69947800000
B542015,2015,1950,0.67743500000
B562015,2015,1920,0.60824300000
B572015,2015,1941,0.73652400000
B582015,2015,2117,0.82014800000
B592015,2015,2136,0.82611400000
B602015,2015,2290,0.71423100000
B612015,2015,2376,0.63687000000
B632015,2015,1909,0.62764500000
B652015,2015,2180,0.548639642
B662015,2015,2200,0.48386900000
B682015,2015,2003,0.66911700000
B692015,2015,1934,0.65604600000
B702015,2015,1828,0.61120500000
B712015,2015,1693,0.64631800000
B722015,2015,1779,0.44408500000
B742015,2015,1790,0.70179000000
B762015,2015,1892,0.53237900000
B772015,2015,1880,0.66744100000
B782015,2015,1762,0.67934400000
B812015,2015,2178,0.53194700000
B822015,2015,2033,0.72300700000
B832015,2015,1979,0.56087700000
B842015,2015,1968,0.56349600000
B852015,2015,2057,0.48044000000
B862015,2015,1982,0.90851000000
B882015,2015,1326,0.77677900000
B992015,2015,1724,0.75673700000
C012015,2015,2170,0.71293000000
