Plot,Elevation,ElevationRel,TRMI,Tree #,Species,Status,Status4,Fill,Fill2,DBH,BA,PlotBA,BAABMA,BAPINALB,BAPINCON,BAABLAS,BAotherABMA,BAotherPINALB,BAotherPINCON,BAotheABLAS,QMDABMA,QMDPINALB,QMDPINCON,QMDABLAS,PercentABMA,CRN Class,SNAG,DMR,DMR2,Mtoe,BB,BBMtoe,Change5yrAprilpck,Change5yrMaypck,Change5yrMarpck,Change5yrSpringsnowpack,Change5yrtempmin,Change5yrppt,Change5yrGstempmax,Change5yrtotalCWD,Change5yrGSCWD,Change5yrGSavgCWD,Change10yrAprilpck,Change10yrMaypck,Change10yrMarpck,Change10yrSpringsnowpack,Change10yrtempmin,Change10yrppt,Change10yrGstempmax,Change10yrtotalCWD,Change10yrGSCWD,Change10yrGSavgCWD,5yrAprilpck,5yrMaypck,5yrMarpck,5yrSpringsnowpack,raw5yrtempmin,raw5yrppt,raw5yrGstempmax,raw5yrtotalCWD,raw5yrGSCWD,raw5yrGSavgCWD
A13,1530,230,43,6,ABCO,D,1,D,D1,29.8,0.069746662,0.991249413,0,0,0,0,0.991249413,0.991249413,0.991249413,0.991249413,0,0,0,0,0,,1,,0,0,1,2,85.32283871,5.252,54.07077419,144.6456129,0.770322581,178.5437097,0.640524194,-79.7066129,-46.00112903,-11.11913978,62.78483871,2.188333333,30.24677419,95.21994624,1.493049853,35.09780059,0.316546921,-37.87252199,-22.26794721,-3.208079176,104.628,5.252,220.684,330.564,-3.61,1011.975,23.55125,419.875,224.245,74.74833333
A13,1530,230,43,14,PSME,D,1,D,D1,53,0.22061886,0.991249413,0,0,0,0,0.991249413,0.991249413,0.991249413,0.991249413,0,0,0,0,0,,1,,0,1,0,1,85.32283871,5.252,54.07077419,144.6456129,0.770322581,178.5437097,0.640524194,-79.7066129,-46.00112903,-11.11913978,62.78483871,2.188333333,30.24677419,95.21994624,1.493049853,35.09780059,0.316546921,-37.87252199,-22.26794721,-3.208079176,104.628,5.252,220.684,330.564,-3.61,1011.975,23.55125,419.875,224.245,74.74833333
A18,2160,860,23,17,ABMA,D,1,D,D1,12.3,0.011882317,3.687519761,3.462092683,0,0,0,0.225427078,3.687519761,3.687519761,3.687519761,0,0,21.50547701,0,0.938867561,,1,,0,0,1,2,120.4490323,342.4142581,51.36954839,514.2328387,0.725725806,289.3295161,0.509737903,-106.1306452,-79.1766129,-22.71341398,52.89403226,257.8764247,-17.61228495,293.158172,1.380498534,72.56906158,0.151158358,-66.66428152,-48.66343109,-12.54235337,672.76,391.792,724.896,1789.448,-5.7875,1472.005,19.493125,277,152.775,50.925
A18,2160,860,23,16,ABMA,D,1,D,D1,22.7,0.040470877,3.687519761,3.462092683,0,0,0,0.225427078,3.687519761,3.687519761,3.687519761,0,0,0,0,0.938867561,,1,,0,0,1,2,120.4490323,342.4142581,51.36954839,514.2328387,0.725725806,289.3295161,0.509737903,-106.1306452,-79.1766129,-22.71341398,52.89403226,257.8764247,-17.61228495,293.158172,1.380498534,72.56906158,0.151158358,-66.66428152,-48.66343109,-12.54235337,672.76,391.792,724.896,1789.448,-5.7875,1472.005,19.493125,277,152.775,50.925
A18,2160,860,23,4,ABMA,D,1,D,D1,23.1,0.041909729,3.687519761,3.462092683,0,0,0,0.225427078,3.687519761,3.687519761,3.687519761,0,0,0,0,0.938867561,,1,,0,0,1,2,120.4490323,342.4142581,51.36954839,514.2328387,0.725725806,289.3295161,0.509737903,-106.1306452,-79.1766129,-22.71341398,52.89403226,257.8764247,-17.61228495,293.158172,1.380498534,72.56906158,0.151158358,-66.66428152,-48.66343109,-12.54235337,672.76,391.792,724.896,1789.448,-5.7875,1472.005,19.493125,277,152.775,50.925
A18,2160,860,23,1,ABMA,D,1,D,D1,47.2,0.174974554,3.687519761,3.462092683,0,0,0,0.225427078,3.687519761,3.687519761,3.687519761,0,0,0,0,0.938867561,,1,,0,0,1,2,120.4490323,342.4142581,51.36954839,514.2328387,0.725725806,289.3295161,0.509737903,-106.1306452,-79.1766129,-22.71341398,52.89403226,257.8764247,-17.61228495,293.158172,1.380498534,72.56906158,0.151158358,-66.66428152,-48.66343109,-12.54235337,672.76,391.792,724.896,1789.448,-5.7875,1472.005,19.493125,277,152.775,50.925
A18,2160,860,23,18,ABMA,D,1,D,D1,57.2,0.256970314,3.687519761,3.462092683,0,0,0,0.225427078,3.687519761,3.687519761,3.687519761,7.601935724,0,0,0,0.938867561,,1,,0,0,1,2,120.4490323,342.4142581,51.36954839,514.2328387,0.725725806,289.3295161,0.509737903,-106.1306452,-79.1766129,-22.71341398,52.89403226,257.8764247,-17.61228495,293.158172,1.380498534,72.56906158,0.151158358,-66.66428152,-48.66343109,-12.54235337,672.76,391.792,724.896,1789.448,-5.7875,1472.005,19.493125,277,152.775,50.925
A18,2160,860,23,19,ABMA,D,1,D,D1,57.2,0.256970314,3.687519761,3.462092683,0,0,0,0.225427078,3.687519761,3.687519761,3.687519761,7.601935724,0,0,0,0.938867561,,1,,0,0,1,2,120.4490323,342.4142581,51.36954839,514.2328387,0.725725806,289.3295161,0.509737903,-106.1306452,-79.1766129,-22.71341398,52.89403226,257.8764247,-17.61228495,293.158172,1.380498534,72.56906158,0.151158358,-66.66428152,-48.66343109,-12.54235337,672.76,391.792,724.896,1789.448,-5.7875,1472.005,19.493125,277,152.775,50.925
A23,1540,240,41,5,ABCO,D,1,D,D1,7.8,0.004778374,1.802968167,0,0,0,0,1.802968167,1.802968167,1.802968167,1.802968167,7.601935724,0,0,0,0,,2,,0,0,0,0,120.9620645,28.87,76.81470968,226.6467742,0.675403226,207.4624194,0.363245968,-92.21669355,-42.21112903,-9.927016126,89.08723118,12.02916667,45.31204301,146.4284409,1.429266862,49.2328739,0.139552786,-47.00146628,-21.23158358,-2.933834307,145.784,28.87,260.266,434.92,-3.7775,1056.615,23.136875,425.6075,221.685,73.895
A23,1540,240,41,41,ABCO,D,1,D,D1,7.9,0.004901681,1.802968167,0,0,0,0,1.802968167,1.802968167,1.802968167,1.802968167,7.601935724,0,0,0,0,,2,,0,0,0,0,120.9620645,28.87,76.81470968,226.6467742,0.675403226,207.4624194,0.363245968,-92.21669355,-42.21112903,-9.927016126,89.08723118,12.02916667,45.31204301,146.4284409,1.429266862,49.2328739,0.139552786,-47.00146628,-21.23158358,-2.933834307,145.784,28.87,260.266,434.92,-3.7775,1056.615,23.136875,425.6075,221.685,73.895
