Plot number,ABCOCAN1969,ABCOSAP1969,ABCOSEED1969,ABLASCAN1969,ABLASSAP1969,ABLASSEED1969,ABMACAN1969,ABMASAP1969,ABMASEED1969,CADECAN1969,CADESAP1969,CADESEED1969,PICBRECAN1969,PICBRESAP1969,PICBRESEED1969,PICENGCAN1969,PICENGSAP1969,PICENGSEED1969,PINCONCAN1969,PINCONSAP1969,PINCONSEED1969,PINLAMCAN1969,PINLAMSAP1969,PINLAMSEED1969,PINMONCAN1969,PINMONSAP1969,PINMONSEED1969,PINPONCAN1969,PINPONSAP1969,PINPONSEED1969,PSMECAN1969,PSMESAP1969,PSMESEED1969,TSMERCAN1969,TSMERSAP1969,TSMERSEED1969
A731969,0,0,0,0,0,0,17.5,7,7,0,0,0,7,0,0,0,0,0,7,0,0,0,0,0,7,7,7,0,0,0,0,0,0,0,0,0
A741969,0,0,0,0,0,0,17.5,17.5,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
A751969,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62.5,17.5,3
A761969,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,7,0,3,0,0,0,0,0,0,0,0,0,0,0,0,62.5,7,7
A781969,0,0,0,0,0,0,87.5,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,7,0,0
A791969,0,0,0,0,0,0,7,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,0,0,0,0,0,0,0,0,0,0
A801969,0,0,0,0,0,0,7,7,7,0,0,0,3,3,0,0,0,0,7,0,0,0,0,0,7,7,0,0,0,0,0,0,0,0,0,0
A811969,0,0,0,0,0,0,7,17.5,7,0,0,0,0,0,0,0,0,0,62.5,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7
A821969,0,0,0,0,0,0,7,17.5,7,0,0,0,0,0,0,0,0,0,37.5,7,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,7
A831969,0,0,0,0,0,0,17.5,17.5,7,0,0,0,7,3,0,0,0,0,17.5,7,3,0,0,0,7,0,0,0,0,0,0,0,0,7,7,3
A841969,0,0,0,0,0,0,0,17.5,7,0,0,0,0,0,0,17.5,7,7,37.5,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,7,7
A851969,7,7,7,0,0,0,7,3,3,0,0,0,0,0,0,37.5,3,3,7,3,3,0,0,0,37.5,0,0,0,0,0,0,0,0,7,7,7
A861969,0,7,7,0,0,0,0,7,7,0,0,0,0,3,0,0,0,7,62.5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A871969,0,0,0,0,0,0,17.5,0,0,0,0,0,0,0,0,37.5,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,7,7,7
A881969,37.5,17.5,7,0,0,0,3,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,7,7,7,0,0,0,7,0,0,3,17.5,7
A891969,0,0,0,0,0,0,17.5,7,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,7,7,1,0,0,0,0,0,0,17.5,7,3
A901969,0,0,0,0,0,0,7,7,3,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,3,3,3,0,0,0,0,0,0,7,7,3
A911969,7,17.5,3,0,0,0,7,7,3,0,0,0,3,0,0,0,0,0,7,17.5,3,0,0,0,0,7,3,0,0,0,0,0,0,0,0,0
A921969,3,7,3,0,0,0,3,7,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,3,3,0,0,0
