Plot,Year,PLOTYEAR,Easting,Northing,ELEV,HLI,TPI_25
B70,2015,B702015,505766,4570880,1828,0.611205,-38.5728
B71,2015,B712015,506593,4571810,1693,0.646318,-42.152
B72,2015,B722015,505593,4575508,1779,0.444085,60.864
B74,2015,B742015,505466,4574974,1790,0.70179,-13.2048
B76,2015,B762015,505163,4574626,1892,0.532379,1.5984
B77,2015,B772015,505209,4574538,1880,0.667441,-4.0512
B78,2015,B782015,505767,4574489,1762,0.679344,-25.0432
B81,2015,B812015,507232,4570426,2178,0.531947,44.9952
B82,2015,B822015,507050,4570791,2033,0.723007,-40.9488
B83,2015,B832015,506799,4570723,1979,0.560877,-73.0256
B84,2015,B842015,506811,4570753,1968,0.563496,-70.248
B85,2015,B852015,506587,4570747,2057,0.48044,26.9536
B86,2015,B862015,506996,4571082,1982,0.90851,-41.9632
B88,2015,B882015,506530,4576529,1326,0.776779,-8.0128
B99,2015,B992015,507409,4573283,1724,0.756737,-0.8224
C01,2015,C012015,503534,4571319,2170,0.71293,8.1488
C05,2015,C052015,502189,4573398,2138,0.644321,-15.608
