Sequence,Year,Elevation2015m,Estim,HighBand,LowBand
112,2015,1870,15.69615269,22.80726242,13.63137054
69,2015,1875,15.36571503,22.33115768,13.16903782
136,2015,1880,15.0345192,21.69358253,12.71444321
135,2015,1882,14.9018631,21.40615654,12.53455544
65,2015,1887,14.56985474,20.79590607,12.08916378
32,2015,1892,14.2374754,20.09579659,11.64933681
70,2015,1893,14.17096424,19.95189857,11.56197643
17,2015,1897,13.90487671,19.36437416,11.21438026
66,2015,1909,13.10689735,17.68120384,10.23221016
120,2015,1913,12.84132195,17.19835281,9.922631264
126,2015,1916,12.64238834,16.81558418,9.690635681
97,2015,1917,12.57612514,16.6842289,9.61336422
117,2015,1920,12.37754536,16.27934265,9.381816864
130,2015,1925,12.04731464,15.57115936,8.997140884
25,2015,1934,11.45586491,14.72336674,8.489170074
118,2015,1939,11.12933636,14.12593079,8.1263237
119,2015,1941,10.9992094,13.98995495,7.95911932
64,2015,1948,10.54621983,12.97040081,7.494462967
121,2015,1950,10.41756535,12.724617,7.397148609
78,2015,1953,10.22528362,12.352458,7.252237797
111,2015,1956,10.03389454,11.84556293,7.108614922
143,2015,1968,9.278381348,10.53003025,6.372178078
63,2015,1972,9.03054142,10.07073021,5.977247238
31,2015,1979,8.602267265,9.439037323,5.346822262
140,2015,1979,8.602267265,9.439037323,5.346822262
44,2015,1980,8.541688919,9.361186981,5.262693405
141,2015,1982,8.420992851,9.200947762,5.118237972
62,2015,1989,8.003735542,8.672380447,4.60558176
129,2015,1993,7.769112587,8.373644829,4.291160583
96,2015,2003,7.195713043,7.723608971,3.582914591
18,2015,2003,7.195713043,7.723608971,3.582914591
27,2015,2008,6.916538239,7.463676453,3.292169333
61,2015,2010,6.806349754,7.359988689,3.182582855
95,2015,2028,5.855545044,6.43851757,2.258008003
72,2015,2030,5.754693031,6.337872505,2.167812824
110,2015,2033,5.605307579,6.187736034,2.046677589
8,2015,2034,5.556018353,6.13792181,2.008548737
50,2015,2034,5.556018353,6.13792181,2.008548737
11,2015,2036,5.458219051,6.038665295,1.945264459
39,2015,2038,5.361458778,5.939923763,1.88494432
38,2015,2042,5.171093464,5.744082928,1.772539735
142,2015,2043,5.124166965,5.695482731,1.746040463
60,2015,2048,4.893584251,5.454795837,1.622243762
139,2015,2057,4.495842934,5.032232761,1.430915594
115,2015,2059,4.410529137,4.940366268,1.393069744
94,2015,2065,4.161383152,4.669589043,1.28810823
45,2015,2070,3.961611271,4.44977808,1.209301472
108,2015,2084,3.440505981,3.852973938,0.922825098
122,2015,2092,3.168045044,3.491632462,0.771924615
46,2015,2105,2.764039993,2.964848518,0.636791766
104,2015,2113,2.538730383,2.676183939,0.551553071
123,2015,2117,2.432556868,2.541506767,0.491587341
43,2015,2117,2.432556868,2.541506767,0.491587341
107,2015,2135,2.005997419,2.135792255,0.36286822
114,2015,2136,1.984663129,2.116186857,0.352453291
79,2015,2137,1.963567972,2.096784592,0.342389017
73,2015,2141,1.881550312,2.021178246,0.305516571
109,2015,2141,1.881550312,2.021178246,0.305516571
59,2015,2145,1.803244352,1.926047325,0.27232334
93,2015,2145,1.803244352,1.926047325,0.27232334
58,2015,2149,1.728547812,1.834099054,0.24205476
103,2015,2149,1.728547812,1.834099054,0.24205476
47,2015,2155,1.623052716,1.703733802,0.206111997
92,2015,2160,1.540919423,1.601824999,0.186502904
106,2015,2170,1.39155221,1.415513277,0.187711507
77,2015,2174,1.337072849,1.34722507,0.1718003
9,2015,2178,1.285444379,1.292287946,0.162423328
127,2015,2179,1.272970319,1.283583879,0.162091911
146,2015,2180,1.260666251,1.275001287,0.162276328
51,2015,2181,1.24853003,1.266536832,0.159804299
41,2015,2183,1.224757195,1.249960065,0.155339092
85,2015,2200,1.047787428,1.126402855,0.147467315
138,2015,2200,1.047787428,1.126402855,0.147467315
